ts_start,ts_end,act
1544019073055,1544019074425,TRANSITION
1544019074441,1544019123235,SETTING_UP_TABLE
1544019123257,1544019215229,TRANSITION
1544019215234,1544019234755,EATING
1544019234763,1544019247633,TRANSITION
1544019247649,1544019250568,EATING
1544019250585,1544019252560,TRANSITION
1544019252578,1544019277757,EATING
1544019277923,1544019278964,TRANSITION
1544019278973,1544019283079,EATING
1544019283090,1544019283823,TRANSITION
1544019283835,1544019285231,EATING
1544019285234,1544019290666,TRANSITION
1544019290671,1544019293537,EATING
1544019293578,1544019294891,TRANSITION
1544019294905,1544019298120,EATING
1544019298134,1544019337902,TRANSITION
1544019337920,1544019494991,WATCHING_TV
1544019494997,1544019500375,TRANSITION
1544019500396,1544019649600,ANSWERING_PHONE
1544019649754,1544019654998,TRANSITION
