sensor_id,sensor_status,ts,subject_id
R2,"ON",1542982336033,"212"
R2,"OFF",1542982338489,"212"
E1,"ON",1542982353460,"212"
R5,"ON",1542982355437,"212"
R5,"OFF",1542982363873,"212"
R7,"ON",1542982366145,"212"
R7,"OFF",1542982370058,"212"
R7,"ON",1542982384685,"212"
R7,"OFF",1542982387828,"212"
E1,"OFF",1542982417462,"212"
P1,"ON",1542982436771,"212"
P1,"OFF",1542982483721,"212"
E2,"ON",1542982556793,"212"
P3,"ON",1542982560141,"212"
P3,"OFF",1542982645926,"212"
P3,"ON",1542982719480,"212"
P3,"OFF",1542982773265,"212"
E2,"OFF",1542982780790,"212"
R6,"ON",1542982783881,"212"
R6,"OFF",1542982796384,"212"
R7,"ON",1542982805873,"212"
R7,"OFF",1542982820302,"212"
