ts_start,ts_end,act
1542721844481,1542721858295,TRANSITION
1542721858302,1542722027737,COOKING
1542722027854,1542722069379,TRANSITION
1542722069400,1542722097425,EATING
1542722097446,1542722115364,TRANSITION
1542722115370,1542722118976,EATING
1542722119013,1542722120979,TRANSITION
1542722120993,1542722139498,EATING
1542722139515,1542722151036,TRANSITION
1542722151069,1542722170472,EATING
1542722170480,1542722171864,TRANSITION
1542722171894,1542722177032,EATING
1542722177033,1542722195085,TRANSITION
1542722195134,1542722224610,TAKING_MEDICINES
1542722224647,1542722231645,TRANSITION
1542722231745,1542722350229,USING_PC
1542722350284,1542722360117,TRANSITION
1542722360130,1542722494011,ANSWERING_PHONE
1542722494031,1542722509743,TRANSITION
1542722509798,1542722534920,LEAVING_HOME
