sensor_id,sensor_status,ts,subject_id
R6,"ON",1542385570425,"206"
R6,"OFF",1542385575037,"206"
R7,"ON",1542385581780,"206"
R7,"OFF",1542385592917,"206"
R7,"ON",1542385625627,"206"
R7,"OFF",1542385628928,"206"
R6,"ON",1542385634501,"206"
R6,"OFF",1542385637660,"206"
R2,"ON",1542385678983,"206"
R2,"OFF",1542385685142,"206"
R7,"ON",1542385691580,"206"
R7,"OFF",1542385696262,"206"
R7,"ON",1542385703037,"206"
R7,"OFF",1542385707277,"206"
R7,"ON",1542385726012,"206"
R7,"OFF",1542385729195,"206"
R1,"ON",1542385730000,"206"
R1,"OFF",1542385738000,"206"
R1,"ON",1542385760000,"206"
R1,"OFF",1542385766000,"206"
P1,"ON",1542385770935,"206"
P1,"OFF",1542385886361,"206"
R7,"ON",1542385930611,"206"
R7,"OFF",1542385939635,"206"
R2,"ON",1542386002455,"206"
R2,"OFF",1542386006956,"206"
E2,"ON",1542386022288,"206"
P3,"ON",1542386025907,"206"
P3,"OFF",1542386137533,"206"
E2,"OFF",1542386141288,"206"
