ts_start,ts_end,act
1543333358021,1543333362059,TRANSITION
1543333362089,1543333371674,ENTERING_HOME
1543333371702,1543333378290,TRANSITION
1543333378320,1543333439526,WATCHING_TV
1543333439556,1543333451444,TRANSITION
1543333451453,1543333455430,COOKING
1543333455431,1543333499980,PREPARING_COLD_MEAL
1543333500010,1543333508583,TRANSITION
1543333508599,1543333566407,ANSWERING_PHONE
1543333566449,1543333571301,TRANSITION
1543333571337,1543333615401,MAKING_PHONE_CALL
1543333615430,1543333619232,TRANSITION
1543333619260,1543333636395,LEAVING_HOME
1543333636419,1543333703503,TRANSITION
1543333703536,1543333720970,ENTERING_HOME
1543333721006,1543333736408,TRANSITION
