ts_start,ts_end,act
1542817414541,1542817424001,TRANSITION
1542817424019,1542817455367,ENTERING_HOME
1542817455370,1542817461630,TRANSITION
1542817461641,1542817511929,WATCHING_TV
1542817512027,1542817527786,TRANSITION
1542817527794,1542817610933,PREPARING_COLD_MEAL
1542817610938,1542817700285,TRANSITION
1542817700313,1542817828968,EATING
1542817828971,1542817852183,TRANSITION
1542817852242,1542817918712,WASHING_DISHES
1542817918722,1542817920749,TRANSITION
1542817920778,1542817987474,ANSWERING_PHONE
1542817987485,1542818006571,TRANSITION
1542818006603,1542818082420,USING_PC
1542818082502,1542818090316,TRANSITION
1542818090339,1542818115591,TAKING_MEDICINES
1542818115656,1542818120383,TRANSITION
