ts_start,ts_end,act
1542382005095,1542382010906,TRANSITION
1542382011061,1542382080849,MAKING_PHONE_CALL
1542382080876,1542382088062,TRANSITION
1542382088169,1542382263204,COOKING
1542382263233,1542382265995,TRANSITION
1542382266027,1542382281717,SETTING_UP_TABLE
1542382281836,1542382285578,TRANSITION
1542382285807,1542382315299,EATING
1542382315325,1542382334043,TRANSITION
1542382334072,1542382340006,EATING
1542382340034,1542382341132,TRANSITION
1542382341145,1542382355160,EATING
1542382355161,1542382356446,TRANSITION
1542382356469,1542382387916,CLEARING_TABLE
1542382387928,1542382390344,TRANSITION
1542382390345,1542382399747,LEAVING_HOME
1542382399777,1542382401630,TRANSITION
