ts_start,ts_end,act
1543316507478,1543316523702,TRANSITION
1543316523716,1543316608923,PREPARING_COLD_MEAL
1543316608946,1543316615366,TRANSITION
1543316615392,1543316634659,TAKING_MEDICINES
1543316634685,1543316825822,TRANSITION
1543316825848,1543316856545,EATING
1543316856554,1543316864996,TRANSITION
1543316865023,1543316866950,EATING
1543316866978,1543316870385,TRANSITION
1543316870409,1543316892797,EATING
1543316892822,1543316910645,TRANSITION
1543316910744,1543316939308,EATING
1543316939474,1543316961977,TRANSITION
1543316962006,1543317029230,USING_PC
1543317029257,1543317031788,TRANSITION
1543317031805,1543317110203,MAKING_PHONE_CALL
1543317110401,1543317116883,TRANSITION
1543317116884,1543317143763,LEAVING_HOME
