x,y,z,ts
0.011688232,0.13439941,0.03767395,1542811093962
-0.28533936,0.16539001,0.107559204,1542811093998
-0.40182495,0.18510437,0.13642883,1542811094038
-0.1552887,0.20880127,-0.015350342,1542811094059
-0.021530151,0.19010925,-0.13877869,1542811094097
-0.19689941,0.101501465,0.008468628,1542811094136
0.05680847,0.072525024,-0.07183838,1542811094158
0.07104492,0.088516235,-0.003616333,1542811094196
-0.030532837,0.037399292,0.01940918,1542811094235
-0.14872742,-0.041488647,0.025726318,1542811094275
0.032196045,0.041412354,-0.034500122,1542811094311
0.18643188,0.044281006,0.0034942627,1542811094336
0.23623657,0.01461792,0.04801941,1542811094376
0.3468933,0.009552002,0.078567505,1542811094413
0.33335876,-0.07518005,0.08352661,1542811094433
0.23110962,-0.009033203,0.05357361,1542811094473
-0.11254883,0.045776367,0.03517151,1542811094512
-0.14854431,0.04737854,0.054489136,1542811094552
-0.24015808,0.0018005371,0.030700684,1542811094574
-0.24687195,-0.008026123,0.04269409,1542811094612
-0.35720825,-0.017196655,0.042816162,1542811094651
-0.5045624,0.016418457,0.025909424,1542811094690
-0.5248718,0.0033569336,-0.0073242188,1542811094710
-0.44602966,0.11727905,-0.02670288,1542811094755
-0.29034424,0.14982605,0.046279907,1542811094788
-0.80485535,0.15092468,0.080337524,1542811094832
-0.799057,0.11016846,0.014678955,1542811094860
-0.3547516,0.15080261,-0.06854248,1542811094888
0.2760315,0.19177246,-0.03288269,1542811094929
0.6515045,0.23895264,-0.029632568,1542811094949
0.24969482,-0.12184143,-0.04689026,1542811094987
0.30921936,-0.25698853,0.009384155,1542811095029
0.13145447,-0.0018157959,0.14582825,1542811095070
-0.28404236,0.01625061,0.04484558,1542811095086
-0.50671387,-0.0074005127,-0.052017212,1542811095124
-0.42062378,0.065460205,0.0068969727,1542811095168
-0.10897827,-0.03881836,0.0554657,1542811095207
0.060897827,0.004760742,0.14607239,1542811095225
0.18215942,0.06347656,0.050750732,1542811095271
0.05406189,-0.16973877,-0.02960205,1542811095303
0.0065612793,-0.106277466,0.034622192,1542811095343
0.10421753,0.0076141357,0.07383728,1542811095382
0.029022217,-0.069992065,-0.08955383,1542811095401
-0.018432617,-0.037887573,-0.071777344,1542811095440
-0.10305786,0.0013275146,-0.010620117,1542811095483
