ts_start,ts_end,act
1542626105549,1542626116634,TRANSITION
1542626116664,1542626225801,ANSWERING_PHONE
1542626225802,1542626237014,TRANSITION
1542626237209,1542626303041,PREPARING_COLD_MEAL
1542626303063,1542626320777,TRANSITION
1542626320796,1542626411386,WATCHING_TV
1542626411394,1542626420346,TRANSITION
1542626420552,1542626494753,ANSWERING_PHONE
1542626495069,1542626502174,TRANSITION
1542626502267,1542626514625,TAKING_MEDICINES
1542626514647,1542626522675,TRANSITION
1542626522692,1542626534390,LEAVING_HOME
1542626534406,1542626541306,TRANSITION
