sensor_id,sensor_status,ts,subject_id
R7,"ON",1543313002909,"209"
R7,"OFF",1543313008010,"209"
P1,"ON",1543313032955,"209"
P4,"ON",1543313059000,"206"
P4,"OFF",1543313144000,"206"
P1,"OFF",1543313149277,"209"
P3,"ON",1543313159000,"206"
E2,"ON",1543313165531,"206"
P2,"ON",1543313235291,"209"
P3,"OFF",1543313294000,"206"
E2,"OFF",1543313294520,"206"
P2,"OFF",1543313310530,"209"
P3,"ON",1543313316000,"209"
E2,"ON",1543313317519,"209"
P7,"ON",1543313388000,"206"
P3,"OFF",1543313461000,"209"
E2,"OFF",1543313551524,"206"
P7,"OFF",1543313560000,"206"
