ts_start,ts_end,act
1542207859782,1542207894394,TRANSITION
1542207894573,1542207909439,LEAVING_HOME
1542207909453,1542207939355,TRANSITION
1542207939383,1542207952626,ENTERING_HOME
1542207952809,1542207958424,TRANSITION
1542207958507,1542208052872,EATING
1542208052896,1542208092791,TRANSITION
1542208092792,1542208096560,EATING
1542208096587,1542208108010,TRANSITION
1542208108035,1542208113108,EATING
1542208113133,1542208163854,TRANSITION
1542208164033,1542208164057,WATCHING_TV
1542208164162,1542208165710,TRANSITION
1542208165744,1542208200062,WATCHING_TV
1542208200079,1542208212023,TRANSITION
1542208212053,1542208267297,MAKING_PHONE_CALL
1542208267316,1542208272586,TRANSITION
1542208272691,1542208288927,TAKING_MEDICINES
1542208288954,1542208300601,TRANSITION
