ts_start,ts_end,act
1542732867553,1542732882930,TRANSITION
1542732882946,1542732940276,SETTING_UP_TABLE
1542732940298,1542732974025,TRANSITION
1542732974041,1542733008490,EATING
1542733008509,1542733010185,TRANSITION
1542733010191,1542733011718,EATING
1542733011736,1542733014064,TRANSITION
1542733014070,1542733015756,EATING
1542733015768,1542733022581,TRANSITION
1542733022598,1542733023847,EATING
1542733023905,1542733028357,TRANSITION
1542733028372,1542733076598,CLEARING_TABLE
1542733076610,1542733090266,TRANSITION
1542733090281,1542733176662,USING_PC
1542733176683,1542733183117,TRANSITION
1542733183146,1542733270592,WATCHING_TV
1542733270606,1542733273022,TRANSITION
1542733273077,1542733398491,ANSWERING_PHONE
1542733398518,1542733404331,TRANSITION
