ts_start,ts_end,act
1543848384535,1543848403463,TRANSITION
1543848403484,1543848497779,PREPARING_COLD_MEAL
1543848497811,1543848547152,TRANSITION
1543848547178,1543848554959,EATING
1543848554985,1543848558709,TRANSITION
1543848558742,1543848562853,EATING
1543848562882,1543848568825,TRANSITION
1543848568852,1543848571825,EATING
1543848571854,1543848575637,TRANSITION
1543848575669,1543848577679,EATING
1543848577680,1543848579303,TRANSITION
1543848579340,1543848606213,EATING
1543848606236,1543848606695,TRANSITION
1543848606725,1543848609876,EATING
1543848609907,1543848621801,TRANSITION
1543848621831,1543848622910,EATING
1543848622939,1543848637830,TRANSITION
1543848637858,1543848734442,WATCHING_TV
1543848734465,1543848736295,TRANSITION
