ts_start,ts_end,location
1544017726717,1544017727932,OUT
1544017727959,1544017738886,HALL
1544017738905,1544017739955,MEDICINE_AREA
1544017739972,1544018007425,LIVING_ROOM
1544018007443,1544018008008,MEDICINE_AREA
1544018001634,1544018007425,LIVING_ROOM
1544018007473,1544018008033,MEDICINE_AREA
1544018001677,1544018007424,LIVING_ROOM
1544018007443,1544018008033,MEDICINE_AREA
1544018001680,1544018007424,LIVING_ROOM
1544018007443,1544018008034,MEDICINE_AREA
1544018001680,1544018007425,LIVING_ROOM
1544018007443,1544018009159,MEDICINE_AREA
1544018009178,1544018010753,HALL
1544018010765,1544018014382,KITCHEN
1544018008050,1544018009145,MEDICINE_AREA
1544018009178,1544018010731,HALL
1544018010765,1544018014390,KITCHEN
1544018008066,1544018009159,MEDICINE_AREA
1544018009215,1544018010752,HALL
1544018010784,1544018014391,KITCHEN
1544018008066,1544018009158,MEDICINE_AREA
1544018009215,1544018010753,HALL
1544018010785,1544018014392,KITCHEN
1544018008066,1544018009159,MEDICINE_AREA
1544018009216,1544018010752,HALL
1544018010785,1544018014685,KITCHEN
1544018014696,1544018020898,DINING_ROOM
1544018014418,1544018014659,KITCHEN
1544018014696,1544018020899,DINING_ROOM
1544018014450,1544018014685,KITCHEN
1544018014715,1544018020899,DINING_ROOM
1544018014448,1544018014685,KITCHEN
1544018014714,1544018020899,DINING_ROOM
1544018014449,1544018014685,KITCHEN
1544018014713,1544018117540,DINING_ROOM
