sensor_id,sensor_status,ts,subject_id
R5,"ON",1542884790859,"202"
R5,"OFF",1542884796068,"202"
R7,"ON",1542884801398,"202"
P3,"ON",1542884804000,"205"
R7,"OFF",1542884806141,"202"
E2,"ON",1542884807823,"205"
R7,"ON",1542884809976,"202"
R7,"OFF",1542884813664,"202"
E1,"ON",1542884822836,"202"
E1,"OFF",1542884871838,"202"
R1,"ON",1542884893000,"202"
R1,"OFF",1542884897864,"202"
P3,"OFF",1542884914000,"205"
R2,"ON",1542884917126,"202"
E2,"OFF",1542884918825,"205"
R2,"OFF",1542884921399,"202"
R1,"ON",1542884925516,"205"
R1,"OFF",1542884930987,"205"
P1,"ON",1542884934064,"202"
R2,"ON",1542884939165,"205"
R2,"OFF",1542884942975,"205"
R7,"ON",1542884953913,"205"
R7,"OFF",1542884958256,"205"
R7,"ON",1542884971847,"205"
R7,"OFF",1542884976245,"205"
P1,"OFF",1542884990005,"202"
R1,"ON",1542885003275,"202"
R1,"OFF",1542885006281,"202"
