ts_start,ts_end,act
1543334496989,1543334512535,TRANSITION
1543334512558,1543334586163,SETTING_UP_TABLE
1543334586200,1543334595137,TRANSITION
1543334595148,1543334686151,EATING
1543334686162,1543334697453,TRANSITION
1543334697476,1543334739758,TAKING_MEDICINES
1543334739787,1543334775720,TRANSITION
1543334775728,1543334850072,USING_PC
1543334850084,1543334854482,TRANSITION
1543334854491,1543334943860,WATCHING_TV
1543334943889,1543335015110,ANSWERING_PHONE
1543335015389,1543335025867,TRANSITION
1543335025897,1543335037091,LEAVING_HOME
