sensor_id,sensor_status,ts,subject_id
R1,"ON",1542374980531,"204"
R1,"OFF",1542374983242,"204"
R2,"ON",1542374986771,"204"
R2,"OFF",1542374993042,"204"
R7,"ON",1542374996339,"204"
R7,"OFF",1542375000153,"204"
R7,"ON",1542375060310,"204"
R7,"OFF",1542375063855,"204"
R6,"ON",1542375075455,"204"
R6,"OFF",1542375078404,"204"
P1,"ON",1542375090656,"204"
P1,"OFF",1542375109766,"204"
P1,"ON",1542375117281,"204"
P1,"OFF",1542375228121,"204"
P2,"ON",1542375246132,"204"
P2,"OFF",1542375260413,"204"
R7,"ON",1542375288561,"204"
R7,"OFF",1542375292451,"204"
R6,"ON",1542375297957,"204"
R6,"OFF",1542375300368,"204"
P2,"ON",1542375341495,"204"
P2,"OFF",1542375435244,"204"
