ts_start,ts_end,act
1543312327889,1543312343084,TRANSITION
1543312343118,1543312390254,PREPARING_COLD_MEAL
1543312390285,1543312393362,TRANSITION
1543312393391,1543312431554,SETTING_UP_TABLE
1543312431564,1543312441974,TRANSITION
1543312442008,1543312494959,TAKING_MEDICINES
1543312495064,1543312505680,TRANSITION
1543312505802,1543312587374,EATING
1543312587400,1543312598666,TRANSITION
1543312598683,1543312674726,USING_PC
1543312674745,1543312676326,TRANSITION
1543312676349,1543312739722,MAKING_PHONE_CALL
1543312739748,1543312745580,TRANSITION
1543312745607,1543312879735,WATCHING_TV
1543312879743,1543312882928,TRANSITION
