sensor_id,sensor_status,ts,subject_id
R5,"ON",1542732888280,"203"
R5,"OFF",1542732891359,"203"
R7,"ON",1542732896144,"203"
R7,"OFF",1542732899694,"203"
E1,"ON",1542732913858,"203"
R2,"ON",1542732919013,"209"
R2,"OFF",1542732922270,"209"
R7,"ON",1542732925166,"203"
R1,"ON",1542732925243,"209"
R1,"OFF",1542732929146,"209"
R7,"OFF",1542732929696,"203"
P1,"ON",1542732944636,"209"
E1,"OFF",1542732955867,"203"
P4,"ON",1542732962000,"203"
P4,"OFF",1542733026000,"203"
P1,"OFF",1542733029706,"209"
R1,"ON",1542733048538,"209"
R1,"OFF",1542733053126,"209"
P2,"ON",1542733091308,"209"
P7,"ON",1542733111000,"203"
E2,"ON",1542733117947,"203"
P7,"OFF",1542733162000,"203"
P2,"OFF",1542733181207,"209"
P3,"ON",1542733184000,"209"
P7,"ON",1542733205000,"203"
P3,"OFF",1542733280000,"209"
P7,"OFF",1542733321000,"203"
R7,"ON",1542733340498,"203"
R7,"OFF",1542733351102,"203"
R6,"ON",1542733358729,"203"
R6,"OFF",1542733365884,"203"
