sensor_id,sensor_status,ts,subject_id
R1,"ON",1543848404374,"206"
R1,"OFF",1543848410195,"206"
P2,"ON",1543848411597,"204"
R2,"ON",1543848416744,"206"
R2,"OFF",1543848420833,"206"
R7,"ON",1543848433485,"206"
R7,"OFF",1543848443215,"206"
R2,"ON",1543848449438,"201"
R2,"OFF",1543848457074,"201"
E2,"ON",1543848468811,"203"
P3,"ON",1543848481000,"203"
R7,"ON",1543848483863,"206"
R7,"OFF",1543848488365,"206"
P1,"ON",1543848508244,"201"
P4,"ON",1543848534000,"206"
P2,"OFF",1543848568595,"204"
P8,"ON",1543848578000,"204"
P4,"OFF",1543848621000,"206"
P1,"OFF",1543848623800,"201"
P9,"ON",1543848633000,"206"
P7,"ON",1543848638000,"201"
P9,"OFF",1543848727000,"206"
P7,"OFF",1543848730000,"201"
P3,"OFF",1543848730000,"203"
E2,"OFF",1543848730810,"203"
P8,"OFF",1543848733000,"204"
