ts_start,ts_end,act
1542298197714,1542298203354,TRANSITION
1542298203360,1542298217677,ENTERING_HOME
1542298217697,1542298344082,PREPARING_COLD_MEAL
1542298344093,1542298349299,TRANSITION
1542298349304,1542298384967,EATING
1542298384972,1542298392808,TRANSITION
1542298392811,1542298437785,EATING
1542298437795,1542298459638,TRANSITION
1542298459677,1542298528720,WASHING_DISHES
1542298528721,1542298538669,TRANSITION
1542298538711,1542298576385,ANSWERING_PHONE
1542298576404,1542298580769,TRANSITION
1542298580779,1542298668249,USING_PC
1542298668257,1542298674120,TRANSITION
1542298674121,1542298712634,TAKING_MEDICINES
1542298712653,1542298729575,TRANSITION
