ts_start,ts_end,act
1544016864071,1544016867318,TRANSITION
1544016867336,1544017073504,WATCHING_TV
1544017073519,1544017112884,TRANSITION
1544017112895,1544017188993,EATING
1544017189001,1544017192069,TRANSITION
1544017192084,1544017214889,EATING
1544017214964,1544017222133,TRANSITION
1544017222141,1544017226185,EATING
1544017226187,1544017228102,TRANSITION
1544017228110,1544017231049,EATING
1544017231061,1544017269119,TRANSITION
1544017269139,1544017533565,USING_PC
1544017533571,1544017540319,TRANSITION
