sensor_id,sensor_status,ts,subject_id
P7,"ON",1543245847000,"207"
E2,"ON",1543245849614,"208"
P3,"ON",1543245850000,"208"
P3,"OFF",1543245913000,"208"
R5,"ON",1543245929528,"208"
R5,"OFF",1543245936010,"208"
E1,"ON",1543245946466,"208"
R1,"ON",1543245950246,"208"
R1,"OFF",1543245956331,"208"
R1,"ON",1543245964257,"208"
R1,"OFF",1543245966922,"208"
P7,"OFF",1543245971000,"207"
R1,"ON",1543245975229,"208"
E2,"OFF",1543245976581,"207"
R1,"OFF",1543245979390,"208"
R1,"ON",1543245984553,"207"
R1,"OFF",1543245988803,"207"
R2,"ON",1543245993403,"207"
R2,"OFF",1543245995629,"207"
R7,"ON",1543246011561,"207"
R7,"OFF",1543246017339,"207"
R7,"ON",1543246031676,"207"
R7,"OFF",1543246036152,"207"
E1,"OFF",1543246037474,"208"
P4,"ON",1543246063000,"208"
P1,"ON",1543246066458,"207"
P4,"OFF",1543246070000,"208"
R2,"ON",1543246080421,"208"
R2,"OFF",1543246083145,"208"
R7,"ON",1543246088023,"208"
R7,"OFF",1543246091855,"208"
P4,"ON",1543246096000,"208"
P4,"OFF",1543246156000,"208"
P1,"OFF",1543246158568,"207"
R6,"ON",1543246166000,"208"
R7,"ON",1543246169684,"207"
R6,"OFF",1543246172000,"208"
R7,"OFF",1543246172910,"207"
R7,"ON",1543246178821,"208"
R7,"OFF",1543246182442,"208"
P2,"ON",1543246200438,"208"
P2,"OFF",1543246317242,"208"
P2,"ON",1543246324802,"207"
P2,"OFF",1543246409310,"207"
R6,"ON",1543246416000,"207"
R6,"OFF",1543246421000,"207"
R6,"ON",1543246456000,"207"
R6,"OFF",1543246459000,"207"
