ts_start,ts_end,act
1542907384707,1542907392252,TRANSITION
1542907392396,1542907523627,COOKING
1542907523629,1542907526315,TRANSITION
1542907526349,1542907565042,MAKING_PHONE_CALL
1542907565067,1542907570109,TRANSITION
1542907570110,1542907652012,SETTING_UP_TABLE
1542907652038,1542907655759,TRANSITION
1542907655794,1542907731627,EATING
1542907731802,1542907732732,TRANSITION
1542907732861,1542907812346,CLEARING_TABLE
1542907812347,1542907814942,TRANSITION
1542907814951,1542907817523,LEAVING_HOME
1542907817526,1542907900069,TRANSITION
