ts_start,ts_end,act
1542381007035,1542381023494,TRANSITION
1542381024064,1542381061078,SETTING_UP_TABLE
1542381061080,1542381063217,TRANSITION
1542381063228,1542381119584,COOKING
1542381119596,1542381147477,TRANSITION
1542381147478,1542381173583,EATING
1542381173661,1542381174700,TRANSITION
1542381174766,1542381194983,EATING
1542381194991,1542381235751,TRANSITION
1542381235771,1542381237949,EATING
1542381237969,1542381239482,TRANSITION
1542381239583,1542381242402,EATING
1542381242423,1542381247290,TRANSITION
1542381247310,1542381259777,EATING
1542381259790,1542381260169,TRANSITION
1542381260317,1542381262891,EATING
1542381262904,1542381269735,TRANSITION
1542381269747,1542381305874,CLEARING_TABLE
1542381305890,1542381308922,TRANSITION
1542381308928,1542381342075,WASHING_DISHES
1542381342106,1542381350337,TRANSITION
1542381350439,1542381442447,WATCHING_TV
1542381442469,1542381447259,TRANSITION
1542381447290,1542381554739,MAKING_PHONE_CALL
1542381554820,1542381559205,TRANSITION
1542381559237,1542381639691,WATCHING_TV
1542381639773,1542381643365,TRANSITION
1542381643452,1542381703978,TAKING_MEDICINES
1542381703979,1542381726999,TRANSITION
