sensor_id,sensor_status,ts,subject_id
R7,"ON",1544696860962,"201"
R7,"OFF",1544696864369,"201"
P1,"ON",1544696878873,"201"
P4,"ON",1544696882000,"206"
P5,"ON",1544696883000,"200"
P6,"ON",1544696988000,"207"
P4,"OFF",1544697114000,"206"
P1,"OFF",1544697116565,"201"
P5,"OFF",1544697117000,"200"
P6,"OFF",1544697119000,"207"
E2,"ON",1544697135770,"206"
P8,"ON",1544697137000,"201"
P9,"ON",1544697138000,"200"
P3,"ON",1544697142000,"206"
P9,"OFF",1544697226000,"200"
R5,"ON",1544697235225,"200"
R5,"OFF",1544697237987,"200"
E1,"ON",1544697246196,"200"
R1,"ON",1544697248139,"200"
R1,"OFF",1544697263818,"200"
R1,"ON",1544697317610,"200"
R1,"OFF",1544697323220,"200"
P8,"OFF",1544697325000,"201"
R5,"ON",1544697377949,"200"
R5,"OFF",1544697382492,"200"
E1,"OFF",1544697403000,"200"
R7,"ON",1544697430623,"200"
R7,"OFF",1544697435644,"200"
R7,"ON",1544697447012,"200"
R7,"OFF",1544697450279,"200"
