value,ts
1004.96545,1542908145355
1004.87537,1542908145390
1004.59015,1542908145424
1004.6692,1542908145479
1004.7374,1542908145502
1004.72925,1542908145528
1004.72076,1542908145565
1004.7161,1542908145599
1004.76117,1542908145632
1004.78174,1542908145665
1004.86694,1542908145702
1005.0619,1542908145734
1005.4061,1542908145776
1005.6649,1542908145803
1005.47754,1542908145840
1005.2606,1542908145873
1004.61365,1542908145910
1004.7211,1542908146011
1004.94696,1542908146011
1004.8845,1542908146011
1004.8957,1542908146048
1004.9577,1542908146079
1005.0738,1542908146118
1005.19464,1542908146166
1005.20074,1542908146183
1005.18854,1542908146219
1005.1547,1542908146255
1005.18945,1542908146286
1005.2238,1542908146332
1005.31836,1542908146356
1005.3772,1542908146389
1005.33124,1542908146456
1005.34015,1542908146471
1005.32434,1542908146493
1005.27057,1542908146530
1005.209,1542908146562
1005.1162,1542908146596
1005.065,1542908146629
1005.0573,1542908146666
1004.88684,1542908146700
1004.94305,1542908146735
1005.04065,1542908146768
1005.00336,1542908146805
1005.0509,1542908146839
1005.08356,1542908146882
1005.19226,1542908146906
1005.22705,1542908146967
1005.68243,1542908146975
1005.8566,1542908147009
1005.5422,1542908147118
1005.32153,1542908147118
1005.0448,1542908147118
1005.11115,1542908147147
1005.1228,1542908147185
1005.00635,1542908147217
1005.10095,1542908147250
1005.0044,1542908147285
1005.2638,1542908147321
1005.3937,1542908147354
1005.35236,1542908147399
1005.4017,1542908147422
1005.3657,1542908147457
1005.3148,1542908147528
1005.3224,1542908147534
1005.01624,1542908147581
1005.0415,1542908147599
1005.15405,1542908147652
1005.1442,1542908147664
1005.06384,1542908147700
1005.0648,1542908147737
1005.04877,1542908147768
1004.995,1542908147802
1004.9696,1542908147836
1004.9744,1542908147871
1005.0327,1542908147906
1005.03876,1542908147944
1005.104,1542908147974
1005.15405,1542908148009
1005.2357,1542908148046
1005.33167,1542908148077
1005.20557,1542908148115
1005.362,1542908148146
1005.47235,1542908148186
1005.47723,1542908148220
1005.39856,1542908148251
1005.10156,1542908148286
1005.18604,1542908148319
1005.2623,1542908148563
1005.0587,1542908148563
1005.17957,1542908148564
1004.9922,1542908148564
1004.9828,1542908148564
1005.1743,1542908148564
1004.9575,1542908148564
1004.70447,1542908148597
1005.0259,1542908148630
1005.2229,1542908148667
1005.22015,1542908148701
1005.0165,1542908148732
1005.01215,1542908148766
1005.10895,1542908148806
1005.1856,1542908148859
1005.16235,1542908148871
1005.1721,1542908148904
1005.15247,1542908148939
1005.15405,1542908149018
1005.1623,1542908149018
1005.1623,1542908149043
1005.1444,1542908149077
1005.15405,1542908149111
1005.1623,1542908149145
1005.1623,1542908149180
1005.2256,1542908149214
1005.3094,1542908149249
1005.3329,1542908149286
1005.36816,1542908149318
1005.40326,1542908149355
1005.3212,1542908149388
1005.31647,1542908149423
1005.2787,1542908149460
1005.3053,1542908149493
1005.2823,1542908149526
1005.25415,1542908149559
1005.22705,1542908149593
1005.31415,1542908149628
1005.377,1542908149665
1005.6104,1542908149697
1005.5985,1542908149736
1005.3326,1542908149792
1005.1647,1542908149802
1005.44257,1542908149835
1005.5026,1542908149871
1005.1788,1542908149910
1005.46124,1542908149940
1005.601,1542908149972
1005.8995,1542908150007
1006.0907,1542908150041
1006.1839,1542908150081
1006.2252,1542908150115
1006.11426,1542908150147
1006.00195,1542908150179
1005.723,1542908150213
1005.4367,1542908150248
1005.5127,1542908150282
1005.3927,1542908150408
1005.568,1542908150409
1005.7847,1542908150409
1005.3751,1542908150422
1005.26135,1542908150482
1005.2526,1542908150489
1005.2008,1542908150675
1005.0579,1542908150675
1005.23145,1542908150675
1005.4678,1542908150675
1005.75616,1542908150675
1005.87585,1542908150696
1005.64307,1542908150732
1005.3411,1542908150766
1005.14307,1542908150803
1004.98694,1542908150836
1004.903,1542908150869
1004.9229,1542908150903
1004.96594,1542908150939
1004.9696,1542908150971
1004.7038,1542908151010
1004.9501,1542908151040
1005.0984,1542908151075
1004.95807,1542908151109
1004.5095,1542908151149
1004.3449,1542908151178
1004.5393,1542908151215
1004.6936,1542908151271
1004.7654,1542908151281
1004.8903,1542908151341
1004.63495,1542908151354
1004.7895,1542908151406
1004.84906,1542908151419
1004.9358,1542908151456
1004.7594,1542908151488
1004.84503,1542908151523
1004.6597,1542908151558
1004.8564,1542908151598
1005.30194,1542908151626
1005.67206,1542908151662
1006.0408,1542908151695
1006.6021,1542908151729
1006.5499,1542908151764
1007.3544,1542908151801
1008.1704,1542908151834
1008.495,1542908151892
1008.2068,1542908151903
1007.42676,1542908152038
1006.74036,1542908152038
1006.20337,1542908152038
1005.7915,1542908152039
1005.6006,1542908152080
1005.46387,1542908152110
1005.3589,1542908152145
1005.4233,1542908152178
1005.4468,1542908152215
1005.73846,1542908152247
1005.52466,1542908152282
1005.40314,1542908152320
1005.34766,1542908152350
1005.3965,1542908152387
1005.0855,1542908152423
1005.29645,1542908152453
1005.63525,1542908152494
1005.8697,1542908152521
1006.2654,1542908152583
1005.9401,1542908152591
1006.0231,1542908152630
1005.9148,1542908152659
1005.8513,1542908152694
1005.74866,1542908152729
1005.78156,1542908152765
1005.7787,1542908152797
1006.3042,1542908152833
1006.3728,1542908152868
1007.06177,1542908152901
1007.26483,1542908152936
1008.6288,1542908152970
1009.49054,1542908153006
1009.3589,1542908153039
1008.40393,1542908153077
1007.3522,1542908153107
1006.63666,1542908153142
1005.9516,1542908153175
1005.5326,1542908153215
1005.3294,1542908153245
1005.21735,1542908153285
1005.18854,1542908153317
1005.3168,1542908153413
1005.3854,1542908153414
1005.2827,1542908153432
1005.14886,1542908153453
1005.2073,1542908153488
1005.23627,1542908153521
1005.08875,1542908153559
1005.1847,1542908153647
1005.31647,1542908153647
1005.3148,1542908153659
1005.28906,1542908153697
1005.0313,1542908153736
1004.9457,1542908153766
1005.02527,1542908153797
1004.9357,1542908153830
1004.7128,1542908153865
1004.3879,1542908153904
1004.59204,1542908153936
1006.0435,1542908153999
1005.91833,1542908154006
1005.0851,1542908154038
1004.629,1542908154085
1004.4798,1542908154134
1004.2409,1542908154142
1003.8137,1542908154177
1003.8019,1542908154210
1003.5919,1542908154244
1004.0294,1542908154280
1004.4906,1542908154313
1004.8536,1542908154353
1004.8977,1542908154384
1004.6553,1542908154418
1004.4779,1542908154452
1004.7212,1542908154485
1005.0633,1542908154520
1005.5365,1542908154556
1006.0635,1542908154589
1006.64636,1542908154624
1007.32635,1542908154658
1007.0904,1542908154692
1007.3701,1542908154755
1008.4441,1542908154764
1008.71484,1542908154798
1008.03754,1542908154835
1007.6726,1542908154869
1006.40955,1542908154910
1005.2643,1542908154934
1005.31445,1542908154971
1005.30347,1542908155004
1004.86194,1542908155040
1004.31354,1542908155071
1003.7599,1542908155106
1003.80316,1542908155161
1003.75903,1542908155179
1003.62244,1542908155211
1003.6055,1542908155244
1003.80334,1542908155324
1003.9254,1542908155324
1003.8155,1542908155347
1003.742,1542908155387
1003.6897,1542908155416
1003.8193,1542908155451
1004.1238,1542908155485
1004.78174,1542908155520
1005.447,1542908155554
1005.6347,1542908155589
1005.51733,1542908155640
1005.03064,1542908155657
1004.4573,1542908155692
1004.0489,1542908155726
1003.7522,1542908155761
1003.62866,1542908155794
1003.5956,1542908155831
1003.6234,1542908155864
1003.7162,1542908155900
1003.74066,1542908155933
1003.99347,1542908155967
1003.9769,1542908156002
1003.76074,1542908156040
1004.1341,1542908156127
1004.17554,1542908156127
1004.54205,1542908156141
1002.7533,1542908156174
1003.86127,1542908156209
1004.7202,1542908156246
1004.54767,1542908156277
1004.8276,1542908156315
1005.04834,1542908156346
1004.92206,1542908156381
1004.7613,1542908156416
1005.1009,1542908156449
1005.23584,1542908156484
1005.2639,1542908156539
1005.33057,1542908156576
1005.1252,1542908156617
1005.17596,1542908156626
1005.2374,1542908156661
1005.08984,1542908156693
1005.57294,1542908156725
1005.91187,1542908156760
1005.79236,1542908156794
1005.5284,1542908156836
1005.7088,1542908156863
1006.3627,1542908156898
1006.74066,1542908156932
1006.4962,1542908156967
1006.5095,1542908157001
1003.04675,1542908157035
1004.7305,1542908157070
1006.0858,1542908157105
1005.7365,1542908157145
1004.91693,1542908157178
1005.6753,1542908157237
1006.94354,1542908157242
1005.3539,1542908157277
1004.4529,1542908157335
1004.38916,1542908157347
1004.04517,1542908157390
1004.16174,1542908157414
1004.50714,1542908157449
1004.85583,1542908157483
1004.9341,1542908157520
1004.7434,1542908157553
1005.18964,1542908157590
1005.6413,1542908157621
1005.5507,1542908157655
1005.30566,1542908157691
1004.9351,1542908157728
1004.15436,1542908157768
1004.45026,1542908157794
1004.44604,1542908157828
1004.435,1542908157862
1004.6063,1542908157897
1004.41876,1542908157935
1004.736,1542908157975
1004.4424,1542908158002
1003.47406,1542908158035
1004.72534,1542908158069
1005.47723,1542908158104
1005.0166,1542908158138
1005.30444,1542908158174
1004.9164,1542908158271
1005.7201,1542908158271
1006.3781,1542908158294
1006.1421,1542908158310
1005.5429,1542908158345
1005.2166,1542908158382
1004.9839,1542908158412
1004.67426,1542908158449
1004.3373,1542908158568
1004.16724,1542908158568
1004.02136,1542908158568
1004.1654,1542908158587
1004.12177,1542908158621
1004.1676,1542908158698
1004.1875,1542908158698
1004.3186,1542908158724
1004.4513,1542908158758
1003.0283,1542908158795
1003.8994,1542908158827
1004.69415,1542908158865
