ts_start,ts_end,act
1543333752254,1543333783085,TRANSITION
1543333783088,1543333801622,PREPARING_COLD_MEAL
1543333801637,1543333804076,TRANSITION
1543333804083,1543333836734,SETTING_UP_TABLE
1543333836738,1543333843051,TRANSITION
1543333843071,1543333893364,TAKING_MEDICINES
1543333893370,1543333941351,TRANSITION
1543333941390,1543333968902,EATING
1543333968927,1543333975222,TRANSITION
1543333975233,1543333981945,EATING
1543333981961,1543333991357,TRANSITION
1543333991389,1543333998949,EATING
1543333998961,1543334023253,TRANSITION
1543334023268,1543334086815,USING_PC
1543334086855,1543334092953,TRANSITION
1543334092971,1543334166625,MAKING_PHONE_CALL
1543334166634,1543334179312,TRANSITION
1543334179340,1543334301013,WATCHING_TV
1543334301016,1543334303017,TRANSITION
