ts_start,ts_end,act
1544019090307,1544019109562,TRANSITION
1544019109568,1544019117118,ENTERING_HOME
1544019117135,1544019202503,TRANSITION
1544019202529,1544019281067,EATING
1544019281098,1544019284014,TRANSITION
1544019284042,1544019289866,EATING
1544019289896,1544019290866,TRANSITION
1544019290896,1544019292021,EATING
1544019292050,1544019299607,TRANSITION
1544019299634,1544019301888,EATING
1544019301908,1544019343255,TRANSITION
1544019343286,1544019405190,CLEARING_TABLE
1544019405251,1544019408930,TRANSITION
1544019408952,1544019526171,WASHING_DISHES
1544019526198,1544019552468,TRANSITION
